filename,zip_source,ground_truth,prediction,RecordedTime,birth_year,gender,nationality,language,proficiency,topik_score,topik_level,education,learning_period,korea_residency,purpose,learning_method,recording_level,DeliveryEval,LanguageUseEval,ContentEval
06874-F-94-EN-A-ATQ004-1501003.wav,TS_Speech_sound_1.zip,가족이 세명이에요.,가족이 3명이에요.,3.99,94,F,Taiwan,English,Intermediate,0,0,Master’s Degree,5,0,취미(Hobby),독학(self-education),Advanced,3,3,3
06874-F-94-EN-A-ATQ005-1501011.wav,TS_Speech_sound_1.zip,대만 사람이에요.,대만 사람이에요,3.16,94,F,Taiwan,English,Intermediate,0,0,Master’s Degree,5,0,취미(Hobby),독학(self-education),Advanced,3,3,3
06874-F-94-EN-A-SPT101-2456104.wav,TS_Speech_sound_1.zip,제가 한국어를 공부하게 되었는 이유는 케잇 일단 케이팝을 먼저 어떻게 조화를 했어요. 그다음에 친구도 되게 한국 친구도 되게 많이 생기고 이렇게 한국어를 공부하게 되었어요. 이게 한국어를 배웠을 때 많이 힘드는 점은 이게 말이 잘 안 됐을 되게 힘들어요. 근데 그 그만큼 재미도 있어요. 예능 볼 때 자막 없이 볼 수 있는 게 되게 재미가 느꼈어요. 그리고 앞으로에 한국어 공부 계획은 일단 최대한 지금에 레벨을 유지를 하면서 다양한 단어들이 그 많이 외우면 좋겠어요.,제가 한국어를 공부하게 되었는 이유는 일단 케이팝을 먼저 좋아했어요. 그 다음에 친구도 되게 한국 친구도 되게 많이 생기고 이렇게 한국어를 공부하게 되었어요. 한국어를 배웠을 때 많이 힘든 점은 말이 잘 안됐을 때 되게 힘들어요. 근데 그만큼 재미도 있어요. 예능 볼 때 자막 없이 볼 수 있는 게 되게 재미가 느꼈어요. 그리고 앞으로의 한국어 공부 계획은 일단 최대한 지금의 레벨을 유지하면서 다양한 단어들이 많이 외우면 좋겠어요.,57.49,94,F,Taiwan,English,Intermediate,0,0,Master’s Degree,5,0,취미(Hobby),독학(self-education),Advanced,3,3,3
06874-F-94-EN-A-SPT004-1733366.wav,TS_Speech_sound_1.zip,기억에 남는 여행에 대해서 이야기를 해보겠습니다. 어제 영구 리블플에서 여행을 갔었어요. 하루만 리블플에 있었는데 되게 재밌었어요. 일단 비틀줄 박문관에 갔었어요. 그 박무관에서 비트즈의 자세 이야기를 많이 알게 됐고 되게 여행이 특별히 기억에 남는 거 남는 남았어요. 그리고 비틀즈 옛날 권연 권연했던 팝에서 또 갔었어요. 거기서 가순분 가수분들의 노래도 듣고 되게 기분이 좋았어요. 이 여행은 왜 특별한지 왜냐면 어제 여행 갔다가 비가 하루 종일 왔었어요. 어제.,"기억에 남는 여행에 대해서 이야기를 해보겠습니다 어제 영구 리버풀에서 여행을 갔었어요 하루만 리버풀에 있었는데 되게 재밌었어요 일단 비틀즈 반문관에 갔었어요 그 방문관에서 비트즈의 자세 이야기를 많이 알게 됐고 되게 여행이 특별히 기억에 남았어요. 그리고 비트즈 옛날 건년했던 팝에서 또 갔었어요. 거기서 가수분들의 노래도 듣고 되게 기분이 좋았어요. 이 여행이 왜 특별한지, 왜냐면 어제 여행 갔다가 비가 하루종일 왔었어요.",67.34,94,F,Taiwan,English,Intermediate,0,0,Master’s Degree,5,0,취미(Hobby),독학(self-education),Advanced,3,3,3
06874-F-94-EN-A-ATQ006-1501015.wav,TS_Speech_sound_1.zip,좋아하는 음식이 떡볶이에요.,좋아하는 음식이 떡볶이에요.,7.24,94,F,Taiwan,English,Intermediate,0,0,Master’s Degree,5,0,취미(Hobby),독학(self-education),Advanced,3,3,3
06874-F-94-EN-A-ATQ011-1501037.wav,TS_Speech_sound_1.zip,"
오늘 저녁에 된장찌개를 먹을 거예요.",오늘 저녁에 된장찌개를 먹을 거예요,4.55,94,F,Taiwan,English,Intermediate,0,0,Master’s Degree,5,0,취미(Hobby),독학(self-education),Advanced,3,3,3
06874-F-94-EN-A-ATQ020-1501191.wav,TS_Speech_sound_1.zip,이 시험이 끝난 다음에 재쯜 겅열을 보러 갈 거예요.,이 시험이 끝난 다음에 재즈 강연을 보러 갈 거예요,7.34,94,F,Taiwan,English,Intermediate,0,0,Master’s Degree,5,0,취미(Hobby),독학(self-education),Advanced,3,3,3
06874-F-94-EN-A-ATQ009-1501028.wav,TS_Speech_sound_1.zip,몇 년 전 한국어 공부를 시작했어요.,몇 년 전 한국어 공부를 시작했어요,5.29,94,F,Taiwan,English,Intermediate,0,0,Master’s Degree,5,0,취미(Hobby),독학(self-education),Advanced,3,3,3
06874-F-94-EN-A-ATQ019-1501184.wav,TS_Speech_sound_1.zip,돈이 많으면 여행 가고 싶어요.,돈이 많으면 여행 가고 싶어요.,6.87,94,F,Taiwan,English,Intermediate,0,0,Master’s Degree,5,0,취미(Hobby),독학(self-education),Advanced,3,3,3
06874-F-94-EN-A-ATQ008-1501023.wav,TS_Speech_sound_1.zip,재즈 음악을 자주 들어요.,재즈 음악을 자주 들어요,4.55,94,F,Taiwan,English,Intermediate,0,0,Master’s Degree,5,0,취미(Hobby),독학(self-education),Advanced,3,3,3
